,Algoritmo,Inicializacao na média,Dimensão,Desbalanceamento,Tamanho maior cluster,N,T0,kmax,Jmin,Jmin global,Tempo (em s)
0,SA,0.0,5,1:10,2000.0,100000.0,0.5,8.0,6.757833304256491,4.787565019195367,119.73477029800415
1,SA,0.0,5,1:20,2000.0,100000.0,0.5,8.0,6.395123949074314,4.8650810703943135,100.13025999069214
2,SA,1.0,5,1:10,2000.0,100000.0,0.5,8.0,6.9521028664010425,4.787565019195367,101.99090123176575
3,SA,1.0,5,1:20,2000.0,100000.0,0.5,8.0,5.99096161682447,4.8650810703943135,120.58671307563782
4,SA,0.0,5,1:10,2000.0,1000000.0,0.5,8.0,4.945705496221053,4.787565019195367,1067.5751671791077
5,SA,0.0,5,1:20,2000.0,1000000.0,0.5,8.0,5.611952318469468,4.8650810703943135,1077.8195219039917
6,SA,1.0,5,1:10,2000.0,1000000.0,0.5,8.0,5.095839139592934,4.787565019195367,1158.6635074615479
7,SA,1.0,5,1:20,2000.0,1000000.0,0.5,8.0,5.429261125018644,4.8650810703943135,1196.7475109100342
8,SA,0.0,5,1:10,2000.0,100000.0,0.5,12.0,6.212596875738822,4.787565019195367,173.79491448402405
9,SA,0.0,5,1:20,2000.0,100000.0,0.5,12.0,5.535806776270341,4.8650810703943135,170.20898628234863
10,SA,1.0,5,1:10,2000.0,100000.0,0.5,12.0,5.372211856641058,4.787565019195367,171.0796103477478
11,SA,1.0,5,1:20,2000.0,100000.0,0.5,12.0,5.504010235980644,4.8650810703943135,167.5040373802185
12,SA,0.0,5,1:10,2000.0,1000000.0,0.5,12.0,4.945705496221053,4.787565019195367,1775.5047843456268
13,SA,0.0,5,1:20,2000.0,1000000.0,0.5,12.0,5.1516301092166,4.8650810703943135,1858.320496559143
14,SA,1.0,5,1:10,2000.0,1000000.0,0.5,12.0,5.095839139592934,4.787565019195367,1601.511901140213
15,SA,1.0,5,1:20,2000.0,1000000.0,0.5,12.0,5.254038694408537,4.8650810703943135,1808.980545282364
16,SA,0.0,5,1:10,2000.0,100000.0,0.5,16.0,5.610481157079109,4.787565019195367,195.54433703422546
17,SA,0.0,5,1:20,2000.0,100000.0,0.5,16.0,5.7574281292706955,4.8650810703943135,222.1466464996338
18,SA,1.0,5,1:10,2000.0,100000.0,0.5,16.0,5.147490024424242,4.787565019195367,209.67507576942444
19,SA,1.0,5,1:20,2000.0,100000.0,0.5,16.0,5.197337657210875,4.8650810703943135,184.21936202049255
20,SA,0.0,5,1:10,2000.0,1000000.0,0.5,16.0,4.945705496221053,4.787565019195367,2304.455278635025
21,SA,0.0,5,1:20,2000.0,1000000.0,0.5,16.0,5.521803379942233,4.8650810703943135,1587.3343920707703
22,SA,1.0,5,1:10,2000.0,1000000.0,0.5,16.0,4.944271858711046,4.787565019195367,2229.311460018158
23,SA,1.0,5,1:20,2000.0,1000000.0,0.5,16.0,5.151081380766487,4.8650810703943135,1743.0849540233612
24,SA,0.0,5,1:10,2000.0,100000.0,0.1,8.0,5.412295745589333,4.787565019195367,122.5044801235199
25,SA,0.0,5,1:20,2000.0,100000.0,0.1,8.0,5.111489592083244,4.8650810703943135,89.69123196601868
26,SA,1.0,5,1:10,2000.0,100000.0,0.1,8.0,4.843278189743064,4.787565019195367,109.91253113746643
27,SA,1.0,5,1:20,2000.0,100000.0,0.1,8.0,4.952481611993691,4.8650810703943135,118.06061434745789
28,SA,0.0,5,1:10,2000.0,1000000.0,0.1,8.0,5.596152879089896,4.787565019195367,1100.9207577705383
29,SA,0.0,5,1:20,2000.0,1000000.0,0.1,8.0,5.0604989268229525,4.8650810703943135,730.5025203227997
30,SA,1.0,5,1:10,2000.0,1000000.0,0.1,8.0,4.82766599444822,4.787565019195367,1153.837560415268
31,SA,1.0,5,1:20,2000.0,1000000.0,0.1,8.0,4.909696764842642,4.8650810703943135,1098.4924676418304
32,SA,0.0,5,1:10,2000.0,100000.0,0.1,12.0,5.4177164640600495,4.787565019195367,170.25876760482788
33,SA,0.0,5,1:20,2000.0,100000.0,0.1,12.0,5.075410375242079,4.8650810703943135,194.0771472454071
34,SA,1.0,5,1:10,2000.0,100000.0,0.1,12.0,4.829805713460537,4.787565019195367,189.8274667263031
35,SA,1.0,5,1:20,2000.0,100000.0,0.1,12.0,5.011970339042711,4.8650810703943135,175.389413356781
36,SA,0.0,5,1:10,2000.0,1000000.0,0.1,12.0,5.644495462405627,4.787565019195367,1693.4237501621246
37,SA,0.0,5,1:20,2000.0,1000000.0,0.1,12.0,5.066779655724042,4.8650810703943135,1605.5906853675842
38,SA,1.0,5,1:10,2000.0,1000000.0,0.1,12.0,4.838624637389413,4.787565019195367,1583.0405268669128
39,SA,1.0,5,1:20,2000.0,1000000.0,0.1,12.0,4.875379027755705,4.8650810703943135,1266.9638624191284
40,SA,0.0,5,1:10,2000.0,100000.0,0.1,16.0,5.501860373138156,4.787565019195367,274.8115999698639
41,SA,0.0,5,1:20,2000.0,100000.0,0.1,16.0,5.051014502828595,4.8650810703943135,205.2386498451233
42,SA,1.0,5,1:10,2000.0,100000.0,0.1,16.0,4.84289985021877,4.787565019195367,272.14144587516785
43,SA,1.0,5,1:20,2000.0,100000.0,0.1,16.0,4.920590698166431,4.8650810703943135,171.17108583450317
44,SA,0.0,5,1:10,2000.0,1000000.0,0.1,16.0,4.821949419930451,4.787565019195367,2463.4705333709717
45,SA,0.0,5,1:20,2000.0,1000000.0,0.1,16.0,5.038526748436278,4.8650810703943135,1403.7484602928162
46,SA,1.0,5,1:10,2000.0,1000000.0,0.1,16.0,4.816325086392332,4.787565019195367,2271.5847096443176
47,SA,1.0,5,1:20,2000.0,1000000.0,0.1,16.0,4.858698297124989,4.8650810703943135,1399.3637733459473
48,SA,0.0,10,1:10,2000.0,100000.0,0.5,8.0,14.112100767982868,9.55315955907877,191.7982099056244
49,SA,0.0,10,1:20,2000.0,100000.0,0.5,8.0,16.467399926691865,9.74061900587271,165.37973356246948
50,SA,1.0,10,1:10,2000.0,100000.0,0.5,8.0,11.09035806682843,9.55315955907877,129.99073433876038
51,SA,1.0,10,1:20,2000.0,100000.0,0.5,8.0,12.561031683448794,9.74061900587271,208.06174063682556
52,SA,0.0,10,1:10,2000.0,1000000.0,0.5,8.0,12.165973426934187,9.55315955907877,1928.6736812591553
53,SA,0.0,10,1:20,2000.0,1000000.0,0.5,8.0,11.346398031151868,9.74061900587271,1655.4299886226654
54,SA,1.0,10,1:10,2000.0,1000000.0,0.5,8.0,11.2588874534346,9.55315955907877,1846.712063074112
55,SA,1.0,10,1:20,2000.0,1000000.0,0.5,8.0,10.728436862682559,9.74061900587271,1888.8531427383423
56,SA,0.0,10,1:10,2000.0,100000.0,0.5,12.0,12.246840615543057,9.55315955907877,326.95331740379333
57,SA,0.0,10,1:20,2000.0,100000.0,0.5,12.0,12.124847327620632,9.74061900587271,316.4766597747803
58,SA,1.0,10,1:10,2000.0,100000.0,0.5,12.0,11.753481078726981,9.55315955907877,287.9445583820343
59,SA,1.0,10,1:20,2000.0,100000.0,0.5,12.0,11.695273307028522,9.74061900587271,265.92707562446594
60,SA,0.0,10,1:10,2000.0,1000000.0,0.5,12.0,11.818251442508592,9.55315955907877,2460.538782596588
61,SA,0.0,10,1:20,2000.0,1000000.0,0.5,12.0,11.027357840962226,9.74061900587271,1811.5122113227844
62,SA,1.0,10,1:10,2000.0,1000000.0,0.5,12.0,11.74063348573252,9.55315955907877,2896.107573747635
63,SA,1.0,10,1:20,2000.0,1000000.0,0.5,12.0,10.887893697266046,9.74061900587271,1900.7240810394287
64,SA,0.0,10,1:10,2000.0,100000.0,0.5,16.0,12.261954818678563,9.55315955907877,396.98130989074707
65,SA,0.0,10,1:20,2000.0,100000.0,0.5,16.0,11.485555380564854,9.74061900587271,376.6396577358246
66,SA,1.0,10,1:10,2000.0,100000.0,0.5,16.0,11.120492557197243,9.55315955907877,353.16478514671326
67,SA,1.0,10,1:20,2000.0,100000.0,0.5,16.0,10.854079195455741,9.74061900587271,362.88211011886597
68,SA,0.0,10,1:10,2000.0,1000000.0,0.5,16.0,11.699231111174461,9.55315955907877,3399.9420771598816
69,SA,0.0,10,1:20,2000.0,1000000.0,0.5,16.0,11.002621867945788,9.74061900587271,2339.033526659012
70,SA,1.0,10,1:10,2000.0,1000000.0,0.5,16.0,10.48533289485761,9.55315955907877,3097.4331002235413
71,SA,1.0,10,1:20,2000.0,1000000.0,0.5,16.0,10.848712662833396,9.74061900587271,2353.791619539261
72,SA,0.0,10,1:10,2000.0,100000.0,0.1,8.0,11.476586908379518,9.55315955907877,173.02253222465515
73,SA,0.0,10,1:20,2000.0,100000.0,0.1,8.0,10.776677857513741,9.74061900587271,184.4211871623993
74,SA,1.0,10,1:10,2000.0,100000.0,0.1,8.0,9.892072326450139,9.55315955907877,189.5748369693756
75,SA,1.0,10,1:20,2000.0,100000.0,0.1,8.0,10.0845557593503,9.74061900587271,172.28833174705505
76,SA,0.0,10,1:10,2000.0,1000000.0,0.1,8.0,11.336908933511939,9.55315955907877,1629.5908753871918
77,SA,0.0,10,1:20,2000.0,1000000.0,0.1,8.0,10.759957850472228,9.74061900587271,1467.1587023735046
78,SA,1.0,10,1:10,2000.0,1000000.0,0.1,8.0,9.78220713896851,9.55315955907877,1721.2913126945496
79,SA,1.0,10,1:20,2000.0,1000000.0,0.1,8.0,9.928572597861328,9.74061900587271,1519.4624540805817
80,SA,0.0,10,1:10,2000.0,100000.0,0.1,12.0,11.341111717115302,9.55315955907877,275.6795754432678
81,SA,0.0,10,1:20,2000.0,100000.0,0.1,12.0,10.673329566025624,9.74061900587271,315.276163816452
82,SA,1.0,10,1:10,2000.0,100000.0,0.1,12.0,9.75698892366448,9.55315955907877,273.3796329498291
83,SA,1.0,10,1:20,2000.0,100000.0,0.1,12.0,9.965863581446465,9.74061900587271,298.4127514362335
84,SA,0.0,10,1:10,2000.0,1000000.0,0.1,12.0,11.376946013037905,9.55315955907877,2712.382688999176
85,SA,0.0,10,1:20,2000.0,1000000.0,0.1,12.0,10.76049395743981,9.74061900587271,1777.5325691699982
86,SA,1.0,10,1:10,2000.0,1000000.0,0.1,12.0,9.685613624505612,9.55315955907877,2770.5471863746643
87,SA,1.0,10,1:20,2000.0,1000000.0,0.1,12.0,9.924690385501181,9.74061900587271,1775.579508304596
88,SA,0.0,10,1:10,2000.0,100000.0,0.1,16.0,9.96909585493002,9.55315955907877,334.8111238479614
89,SA,0.0,10,1:20,2000.0,100000.0,0.1,16.0,10.609158349493127,9.74061900587271,303.1074638366699
90,SA,1.0,10,1:10,2000.0,100000.0,0.1,16.0,9.764670251808031,9.55315955907877,362.0610628128052
91,SA,1.0,10,1:20,2000.0,100000.0,0.1,16.0,9.899572692880165,9.74061900587271,337.8472135066986
92,SA,0.0,10,1:10,2000.0,1000000.0,0.1,16.0,11.377799556267957,9.55315955907877,2496.6044294834137
93,SA,0.0,10,1:20,2000.0,1000000.0,0.1,16.0,9.855549010516786,9.74061900587271,2228.964370727539
94,SA,1.0,10,1:10,2000.0,1000000.0,0.1,16.0,9.693557465119184,9.55315955907877,2728.8346462249756
95,SA,1.0,10,1:20,2000.0,1000000.0,0.1,16.0,9.898787106705937,9.74061900587271,2224.2756457328796
96,SA,0.0,15,1:10,2000.0,100000.0,0.1,12.0,16.2361414825501,14.77115005636191,263.7102210521698
97,SA,0.0,15,1:20,2000.0,100000.0,0.1,12.0,15.80373288113465,14.85902714419568,254.255957365036
98,SA,1.0,15,1:10,2000.0,100000.0,0.1,12.0,15.150979200076979,14.77115005636191,261.2310082912445
99,SA,1.0,15,1:20,2000.0,100000.0,0.1,12.0,15.291521463396284,14.85902714419568,255.30775451660156
100,SA,0.0,15,1:10,2000.0,1000000.0,0.1,12.0,16.424486870483136,14.77115005636191,2625.530658006668
